no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
3000,12.159,0.2028624766645924,0.008711885500933417,1607,326,14,1.7163102626800537
12000,12.161,0.1891891891891892,0.011234125691957017,6142,1162,69,5.870107412338257
6000,12.162,0.22203947368421054,0.008223684210526315,3040,675,25,3.0830416679382324
12000,12.161,0.2058773278660516,0.006834102169827439,5853,1205,40,5.898636817932129
4000,12.155,0.20038910505836577,0.008754863813229572,2056,412,18,2.193390369415283
1500,12.165,0.21532846715328466,0.0072992700729927005,548,118,4,1.0170142650604248
6000,12.159,0.19751513220770947,0.011150047785919083,3139,620,35,3.1336545944213867
8000,12.165,0.19636456733230928,0.00819252432155658,3906,767,32,4.034754037857056
1000,12.161,0.193359375,0.005859375,512,99,3,0.8361737728118896
3000,12.162,0.19738480697384808,0.0062266500622665,1606,317,10,1.696204662322998
1000,12.166,0.1903914590747331,0.005338078291814947,562,107,3,0.7764558792114258
4000,12.162,0.19159981123171307,0.009438414346389807,2119,406,20,2.241445779800415
4000,12.162,0.21209117938553024,0.007433102081268583,2018,428,15,2.1498167514801025
6000,12.159,0.2068045363575717,0.005670446964643095,2998,620,17,3.107936143875122
4000,12.162,0.2108641975308642,0.007901234567901235,2025,427,16,2.1796395778656006
3000,12.158,0.1881377551020408,0.01020408163265306,1568,295,16,1.7854044437408447
1000,12.162,0.20701754385964913,0.007017543859649123,570,118,4,0.796750545501709
3000,12.161,0.20244215938303342,0.009640102827763496,1556,315,15,1.623624563217163
60000,12.165,0.2036058113075442,0.009277087344652548,28565,5816,265,28.04719352722168
6000,12.159,0.20796178343949046,0.008280254777070064,3140,653,26,3.0855982303619385
30000,12.163,0.20243446988035133,0.007469396223805242,14459,2927,108,14.125495433807373
12000,12.162,0.2031170591224801,0.008300863967474165,5903,1199,49,5.879780292510986
40000,12.165,0.2063625387159431,0.009029345372460496,19049,3931,172,18.77572989463806
6000,12.159,0.19844751940600744,0.008774890313871077,2963,588,26,3.148216962814331
1500,12.161,0.19207920792079208,0.0019801980198019802,505,97,1,1.0082645416259766
3000,12.161,0.20833333333333334,0.007692307692307693,1560,325,12,1.6933040618896484
40000,12.161,0.21364383561643835,0.009863013698630137,18250,3899,180,18.82297110557556
8000,12.162,0.19357366771159876,0.012800417972831766,3828,741,49,3.9888057708740234
