"Freq [GHz]","mag(St(feedline_T1,feedline_T1)) []","mag(St(feedline_T2,feedline_T1)) []"
1.63857142857143,0.0894412994784806,0.980884268636324
1.63871428571429,0.0895848032877932,0.98086875828561
1.63885714285714,0.0897283340574309,0.980853218474136
1.639,0.0898718918623275,0.980837649152014
1.63914285714286,0.0900154767779882,0.980822050269074
1.63928571428571,0.0901590888804926,0.980806421774849
1.63942857142857,0.0903027282464988,0.980790763618585
1.63957142857143,0.0904463949532461,0.980775075749228
1.63971428571429,0.0905900890785586,0.980759358115429
1.63985714285714,0.090733810700848,0.98074361066554
1.64,0.0908775598991178,0.98072783334761
1.64014285714286,0.0910213367529661,0.980712026109384
1.64028571428571,0.0911651413425901,0.9806961888983
1.64042857142857,0.0913089737487883,0.98068032166149
1.64057142857143,0.0914528340529648,0.980664424345772
1.64071428571429,0.0915967223371331,0.980648496897652
1.64085714285714,0.0917406386839193,0.98063253926332
1.641,0.091884583176565,0.980616551388649
1.64114285714286,0.0920285558989328,0.980600533219189
1.64128571428571,0.0921725569355093,0.98058448470017
1.64142857142857,0.0923165863714073,0.980568405776495
1.64157142857143,0.0924606442923722,0.98055229639274
1.64171428571429,0.0926047307847838,0.980536156493149
1.64185714285714,0.0927488459356613,0.980519986021635
1.642,0.0928929898326665,0.980503784921776
1.64214285714286,0.0930371625641079,0.98048755313681
1.64228571428571,0.0931813642189458,0.980471290609637
1.64242857142857,0.0933255948867937,0.980454997282812
1.64257142857143,0.0934698546579258,0.980438673098545
1.64271428571429,0.0936141436232778,0.980422317998696
1.64285714285714,0.0937584618744536,0.980405931924779
1.643,0.0939028095037274,0.980389514817948
1.64314285714286,0.0940471866040491,0.980373066619004
1.64328571428571,0.0941915932690495,0.980356587268389
1.64342857142857,0.0943360295930418,0.980340076706182
1.64357142857143,0.0944804956710279,0.980323534872097
1.64371428571429,0.0946249915987031,0.980306961705483
1.64385714285714,0.0947695174724595,0.980290357145315
1.644,0.0949140733893901,0.980273721130196
1.64414285714286,0.095058659447295,0.980257053598356
1.64428571428571,0.0952032757446841,0.980240354487641
1.64442857142857,0.0953479223807825,0.980223623735517
1.64457142857143,0.0954925994555349,0.980206861279067
1.64471428571429,0.0956373070696111,0.980190067054985
1.64485714285714,0.0957820453244096,0.980173240999571
1.645,0.0959268143220621,0.980156383048735
1.64514285714286,0.0960716141654404,0.980139493137988
1.64528571428571,0.0962164449581576,0.98012257120244
1.64542857142857,0.0963613068045776,0.980105617176802
1.64557142857143,0.096506199809816,0.980088630995371
1.64571428571429,0.0966511240797464,0.980071612592041
1.64585714285714,0.0967960797210073,0.980054561900292
1.646,0.0969410668410034,0.980037478853182
1.64614285714286,0.097086085547914,0.980020363383359
1.64628571428571,0.0972311359506973,0.980003215423041
1.64642857142857,0.0973762181590936,0.979986034904021
1.64657142857143,0.0975213322836342,0.979968821757666
1.64671428571429,0.0976664784356436,0.979951575914906
1.64685714285714,0.0978116567272461,0.979934297306239
1.647,0.0979568672713706,0.979916985861718
1.64714285714286,0.0981021101817576,0.979899641510958
1.64728571428571,0.0982473855729624,0.979882264183123
1.64742857142857,0.0983926935603626,0.979864853806929
1.64757142857143,0.0985380342601627,0.979847410310638
1.64771428571429,0.0986834077893993,0.979829933622054
1.64785714285714,0.098828814265949,0.97981242366852
1.648,0.098974253808531,0.979794880376913
1.64814285714286,0.0991197265367158,0.979777303673642
1.64828571428571,0.0992652325709293,0.979759693484645
1.64842857142857,0.0994107720324585,0.979742049735383
1.64857142857143,0.0995563450434592,0.979724372350837
1.64871428571429,0.0997019517269606,0.9797066612555
1.64885714285714,0.0998475922068725,0.979688916373386
