wait_time,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
2000,12.185,0.029946524064171122,0.0106951871657754,1870,56,20,10.286067008972168
300,12.187,0.16764018691588786,0.008761682242990653,1712,287,15,3.5323970317840576
0,12.188,0.17794253938832252,0.0,1079,192,0,2.3622379302978516
1500,12.185,0.043807463493780424,0.012979989183342347,1849,81,24,8.28994083404541
700,12.188,0.11754966887417219,0.011037527593818985,1812,213,20,5.092134714126587
7000,12.189,0.000544069640914037,0.008705114254624592,1838,1,16,30.32883071899414
35000,12.188,0.001119194180190263,0.014549524342473419,1787,2,26,142.27693438529968
1800,12.187,0.03864168618266979,0.008782201405152224,1708,66,15,9.492481470108032
3600,12.181,0.003393665158371041,0.007352941176470588,1768,6,13,16.725866079330444
5000,12.185,0.002232142857142857,0.016183035714285716,1792,4,29,22.305447340011597
2800,12.183,0.01,0.010555555555555556,1800,18,19,13.580179452896118
1600,12.192,0.04168982768204558,0.010561423012784881,1799,75,19,8.725632667541504
