timestamp,date,time,data_type,RF_set,RF_meas,model_chosen,chosen_fit_kind,AICc_single,AICc_double,delta_AICc,score_R2,score_SSE,score_RMSE,sign_mode,double_class,decision_note,weak_rejected,weak_component,component,center,center_sigma,sigma,amp
20251215_141616,20251215,141616,trapped,4.0,12.08411627906977,single,single,-910.919725457824,-904.535984241182,-6.383741216642079,0.829438802820971,0.0181451650476206,0.0130836081543297,dip,single,,False,,1,71.5534,0.11991,3.1953,0.081935
20251215_143015,20251215,143015,lost,4.0,12.092492307692309,double,double,-788.376990244547,-929.226745515739,140.84975527119207,0.974196183692504,0.0006966225722697,0.0029326231721783,peak,ambiguous,ambiguous | best_one=dominant,False,,2,108.6692,0.046487,1.7124,0.043559
20251215_143015,20251215,143015,trapped,4.0,12.092492307692309,double,double,-777.806237210303,-879.380678181823,101.57444097151995,0.951364159700155,0.0012890068385344,0.0039891934865665,dip,ambiguous,ambiguous | best_one=dominant,False,,2,108.8547,0.063988,1.4876,0.041934
20251215_153823,20251215,153823,lost,5.0,12.439224489795917,double,double,,-571.203229768278,,0.875372928642353,0.0040168211315181,0.0081147721315018,peak,ambiguous,ambiguous | best_one=dominant,False,,2,37.5229,0.11036,0.96362,0.033366
20251215_153823,20251215,153823,trapped,5.0,12.439224489795917,double,double,,-617.973957582384,,0.936363666561115,0.0018659262594311,0.0055307282587957,dip,pedestal_plus_peak,"pedestal(W>=5.0,S<=1.0,narrow>= 1.0*wide)",False,,2,37.9683,0.061238,0.6237,0.048626
20251215_154627,20251215,154627,lost,5.0,12.427558823529411,double,double,,-1137.77531151038,,0.886720809224277,0.0134023535336229,0.0103134807503327,peak,ambiguous,ambiguous | best_one=dominant,False,,2,75.3873,0.090718,2.3815,0.053793
20251215_154627,20251215,154627,trapped,5.0,12.427558823529411,double,double,-1152.34217223759,-1204.49279518596,52.15062294837003,0.925956879130626,0.0078926069301056,0.0079145269941115,dip,ambiguous,ambiguous | best_one=dominant,False,,2,75.5871,0.051392,2.0559,0.058271
20251215_160259,20251215,160259,lost,5.0,12.413733333333333,double,double,-448.744365947207,-450.786177507124,2.0418115599170505,0.957910092964428,7.96141015518022e-05,0.001487112242194,peak,ambiguous,ambiguous | best_one=dominant,False,,1,89.9544,0.082867,0.95695,0.011709
20251215_160758,20251215,160758,lost,5.0,12.433926829268291,double,double,-488.47765570746,-509.591458857483,21.113803150023045,0.951785852134513,0.0016854121393716,0.0057486778349829,peak,pedestal_plus_peak,"pedestal(W>=5.0,S<=1.0,narrow>= 1.0*wide)",False,,2,113.4241,0.047377,0.4,0.036009
20251215_160758,20251215,160758,trapped,5.0,12.433926829268291,double,double,-512.553430255258,-527.856723437857,15.303293182598964,0.958079671118031,0.0011780584290867,0.0048061611379618,dip,ambiguous,ambiguous | best_one=dominant,False,,2,113.4439,0.050822,0.4,0.02753
20251215_173206,20251215,173206,lost,6.0,12.701591836734694,double,double,,-713.326249391719,,0.939671767964356,0.0003908643379023,0.0025313261537698,peak,true_double,true_strong(S>=1.0),False,,1,34.8285,0.135,2.5891,0.022594
20251215_173206,20251215,173206,lost,6.0,12.701591836734694,double,double,,-713.326249391719,,0.939671767964356,0.0003908643379023,0.0025313261537698,peak,true_double,true_strong(S>=1.0),False,,2,38.1837,0.054273,1.0567,0.027552
20251215_173206,20251215,173206,trapped,6.0,12.701591836734694,double,double,,-663.304883975477,,0.849690084037367,0.0008874772806606,0.0038142899574734,dip,pedestal_plus_peak,"pedestal(W>=5.0,S<=1.0,narrow>= 1.0*wide)",False,,2,38.357,0.057406,0.55704,0.022773
20251215_174013,20251215,174013,lost,6.0,12.726567901234569,double,double,,-1111.51789019635,,0.949601579531631,0.0014437018379102,0.0037807509311076,peak,ambiguous,ambiguous | best_one=dominant,False,,2,76.8619,0.031406,0.88193,0.037112
20251215_174013,20251215,174013,trapped,6.0,12.726567901234569,double,double,-988.344614356124,-1077.98974933654,89.64513498041595,0.924807874193463,0.0020120866670805,0.0044633675816713,dip,ambiguous,ambiguous | best_one=dominant,False,,2,76.8457,0.061082,1.0347,0.028717
20251215_175327,20251215,175327,lost,6.0,12.735181818181818,single,single,-508.149405171626,,,0.861353214286284,0.0001360431985137,0.0018215726153571,peak,single,,False,,1,93.7479,0.060643,1.1452,0.012419
20251215_175327,20251215,175327,trapped,6.0,12.735181818181818,single,single,-446.100417289209,-444.187602453905,-1.9128148353040046,0.808668483808131,0.0006179221136252,0.003882173497415,dip,single,,False,,1,93.6788,0.080216,1.1646,0.02372
20251215_175907,20251215,175907,lost,6.0,12.739756097560976,double,double,-514.047434752233,-579.301603926319,65.25416917408597,0.968079706655164,0.0004296194498059,0.0029023974194637,peak,ambiguous,ambiguous | best_one=dominant,False,,2,114.414,0.064933,0.93615,0.034803
20251215_175907,20251215,175907,trapped,6.0,12.739756097560976,double,double,-554.570998235626,-580.786308340682,26.215310105056005,0.964068478912136,0.0004172927296677,0.0028604563247221,dip,ambiguous,ambiguous | best_one=dominant,False,,2,114.2203,0.068537,1.369,0.045267
20251216_140715,20251216,140715,lost,8.0,12.90295918367347,double,double,,-742.062586774002,,0.949263682156173,0.0002440255760856,0.0020001048172766,peak,ambiguous,ambiguous | best_one=dominant,False,,2,38.8105,0.041827,0.96003,0.02085
20251216_140715,20251216,140715,trapped,8.0,12.90295918367347,double,double,,-667.047403063302,,0.819305656858346,0.0008346647521796,0.0036990578157493,dip,pedestal_plus_peak,"pedestal(W>=5.0,S<=1.0,narrow>= 1.0*wide)",False,,2,38.9805,0.096236,0.82553,0.016363
20251216_141520,20251216,141520,lost,8.0,12.892387096774192,double,double,-788.830353728576,-853.027621698966,64.19726797038993,0.96014611466123,0.0008257680239284,0.0032962658776107,peak,ambiguous,ambiguous | best_one=dominant,False,,2,78.5146,0.042092,0.89624,0.02826
20251216_141520,20251216,141520,trapped,8.0,12.892387096774192,double,double,-739.362733415136,-825.512113350728,86.14937993559204,0.94378733701362,0.001186021910716,0.0039503862414693,dip,ambiguous,ambiguous | best_one=dominant,False,,2,78.7308,0.068624,0.87881,0.033833
20251216_142522,20251216,142522,lost,8.0,12.886195121951221,single,single,-634.581766733921,,,0.827798103000829,0.0001691258998892,0.0018210420411058,peak,single,,False,,1,95.2513,0.070882,1.1847,0.012333
20251216_143214,20251216,143214,lost,8.0,12.929073170731707,single,single,-546.110331002256,,,0.884665986668633,0.0009585075518576,0.0043352353710842,peak,single,,False,,1,115.9396,0.068228,1.748,0.032944
20251216_143214,20251216,143214,trapped,8.0,12.929073170731707,double,double,-542.952833461307,-561.641188687051,18.688355225743976,0.940962976653651,0.0006073969117014,0.003451049603627,dip,ambiguous,ambiguous | best_one=dominant,False,,2,116.3551,0.065124,1.0011,0.028682
