Ex,Ey,Ez,ratio_signal,ratio_lost,loading_signal,lost_signal,trapped_signal,time_cost
-0.060150376,-0.009649123,-0.081453634,0.026378617597391255,0.00984102952308857,17173,169,453,6.886272192001343
-0.034586466,-0.146491228,0.069924812,0.017662246215232952,0.013261354301138364,17042,226,301,6.899850368499756
-0.013533835,0.1903508772,0.0869674185,0.001960445136366257,0.0016721443810182783,17343,29,34,6.859951972961426
0.177443609,-0.102631579,0.0142857143,0.0,0.00047559598121395876,16821,8,0,6.713654518127441
-0.22406015,-0.142105263,-0.094987469,0.004500138465798948,0.0011077263915812794,14444,16,65,6.277595520019531
-0.096240602,-0.089473684,-0.00726817,0.05969311377245509,0.011726546906187624,16032,188,957,6.705130100250244
-0.058646617,-0.001754386,0.0609022556,0.06127964699393271,0.011527854384997243,18130,209,1111,7.260437250137329
-0.123308271,-0.077192982,-0.074937343,0.02499207104345068,0.011988582302568981,15765,189,394,6.516922235488892
-0.215037594,-0.04122807,-0.092982456,0.020505260336393487,0.00442270320981036,14923,66,306,6.392755031585693
-0.254135338,-0.126315789,0.0323308271,0.036629275723583994,0.0009001523334718183,14442,13,529,6.357279539108276
-0.4,0.051754386,-0.084461153,0.012590448625180897,0.0009406657018813314,13820,13,174,6.246229410171509
-0.003007519,0.0578947368,-0.05839599,0.03550586310335424,0.011671666212162531,18335,214,651,7.346618175506592
0.0315789474,-0.036842105,0.0393483709,0.02855064557192217,0.014245014245014245,16497,235,471,6.798713445663452
-0.228571429,-0.022807018,-0.046867168,0.027061855670103094,0.002884143348060874,16296,47,441,6.630401134490967
-0.233082707,-0.098245614,0.0719298246,0.028612965043282892,0.0018502610189651755,15133,28,433,6.392553806304932
-0.135338346,0.0271929825,0.0593984962,0.0738240177089098,0.011344770337576093,18070,205,1334,7.435419082641602
0.1127819549,0.1631578947,-0.095989975,6.153846153846154e-05,0.0004307692307692308,16250,7,1,6.4884843826293945
-0.317293233,-0.038596491,0.020802005,0.056678607983623334,0.0012154554759467757,15632,19,886,6.54375696182251
-0.05112782,0.0026315789,0.0378446115,0.06935135434553814,0.01141084584279621,18053,206,1252,7.394379138946533
0.030075188,0.0631578947,-0.077443609,0.01661865721249723,0.01251938843341458,18052,226,300,7.127569913864136
0.0436090226,0.0307017544,-0.037844612,0.02354373858331642,0.010909275421148772,19708,215,464,7.592298269271851
-0.209022556,0.0719298246,-0.075438596,0.030605455755156354,0.005788423153692615,15030,87,460,6.388107538223267
0.1759398496,-0.00877193,0.0263157895,0.0007214606803929186,0.0008324546312225983,18019,15,13,6.89544153213501
-0.302255639,0.1105263158,0.0097744361,0.09525880817746847,0.0011806375442739079,16093,19,1533,6.946712493896484
-0.321804511,0.1078947368,-0.040350877,0.015060031924491638,0.0013880213755291832,14409,20,217,6.273708820343018
-0.288721805,0.0921052632,0.0298245614,0.086131778269321,0.0009384006970976607,14919,14,1285,6.538784503936768
-0.380451128,0.151754386,-0.030827068,0.007113893433876361,0.0011382229494202177,14057,16,100,6.25587797164917
-0.234586466,0.0552631579,0.0157894737,0.11248028966886643,0.004146469660690299,17123,71,1926,7.198995351791382
-0.097744361,0.1596491228,0.0904761905,0.0424085828231197,0.01263831938437342,17803,225,755,7.136045217514038
-0.17593985,0.0614035088,0.0709273183,0.07242136064374542,0.01615459643989271,16404,265,1188,6.882258176803589
0.007518797,0.0377192982,0.0167919799,0.05628893079604549,0.014400822904165953,17499,252,985,7.0572288036346436
-0.344360902,-0.014912281,0.0047619048,0.03818204997450281,0.0008924018357980622,15688,14,599,6.619875431060791
-0.090225564,0.1131578947,-0.018796992,0.08277404921700224,0.013641076008075516,18327,250,1517,7.483398199081421
-0.255639098,-0.092105263,0.0137844612,0.06352087114337568,0.001277139208173691,14877,19,945,6.525323390960693
-0.369924812,-0.121929825,-0.090977444,0.00014682131845543972,0.00029364263691087944,13622,4,2,6.3073766231536865
0.0330827068,-0.107017544,0.0674185464,0.0033354419460578525,0.007418482948990742,17389,129,58,6.829411029815674
-0.245112782,0.1271929825,-0.086967419,0.017633144577449644,0.002150383485054835,13951,30,246,6.297884702682495
-0.213533835,-0.135964912,0.0568922306,0.03650323275862069,0.0028286637931034483,14848,42,542,6.420313358306885
-0.291729323,-0.01754386,0.084962406,0.012528285225453944,0.002152436668690325,18119,39,227,7.0667643547058105
-0.345864662,-0.05,0.0022556391,0.029971487301903056,0.0007293946024799417,15081,11,452,6.398306608200073
-0.061654135,-0.049122807,-0.010776942,0.0647132841991731,0.011384744442447121,16689,190,1080,6.996182203292847
-0.297744361,0.1912280702,0.0754385965,0.001983873032125944,0.0012159221809804172,15626,19,31,6.431591033935547
-0.305263158,-0.147368421,-0.037343358,0.0009092180724576864,0.000839278220730172,14298,12,13,6.283846855163574
0.1954887218,-0.10877193,-0.067919799,0.0,0.0004738088970781785,18995,9,0,7.298170328140259
