Ex,Ey,Ez,U2,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
0.0114585808,0.1253522288,-0.047443505,-0.18,0.03939994827140271,0.013190792309681868,11599,457,153,6.799431800842285
-0.089430738,0.0573280262,0.0789781201,-0.1,0.049567634342186535,0.005713403335392217,12952,642,74,6.876622915267944
-0.322930161,-0.094493958,-0.040896325,-0.13,0.004576659038901602,0.0008717445788384003,9177,42,8,6.714967966079712
-0.152514915,0.1781877507,-0.063996839,-0.18,0.05388289036544851,0.00321843853820598,9632,519,31,6.780351638793945
-0.214316179,-0.09912352,-0.019217369,-0.3,0.00010541851149061775,0.0005270925574530887,9486,1,5,6.719003677368164
0.0413809576,-0.091988956,0.0044127152,-0.24,0.0,0.0004126433935792688,12117,0,5,6.820261716842651
-0.330186159,0.0476270136,-0.075235155,-0.18,0.01733992056572702,0.0005812263876780006,10323,179,6,6.664647579193115
-0.285845932,0.1388466275,0.0434874811,-0.18,0.06372457548050009,0.0008397089009143497,10718,683,9,6.772572755813599
0.0218226829,0.0492611183,0.0369888354,-0.3,0.0,0.0009156111704562796,13106,0,12,6.776056528091431
-0.137245287,0.0909909873,-0.017430718,-0.18,0.15499058380414313,0.014689265536723164,10620,1646,156,6.923382520675659
0.0082112475,-0.042492981,-0.012083839,-0.24,0.023938022284122562,0.009749303621169917,11488,275,112,6.770519971847534
-0.295908842,0.131987397,0.0324644725,-0.13,0.038461538461538464,0.0011494252873563218,11310,435,13,6.787316560745239
-0.191643954,0.0945869599,0.035812885,-0.24,0.129136400322841,0.0018159806295399517,9912,1280,18,6.852476358413696
-0.133767879,-0.029868574,0.0181373709,-0.1,0.045658553426549287,0.0018125323666494044,11586,529,21,6.807640314102173
-0.237608091,0.0819458502,-0.046331158,-0.3,0.040010325245224576,0.0005162622612287042,7748,310,4,6.722971677780151
-0.106516944,0.1003103101,0.0052692433,-0.24,0.09795054363513904,0.012508419128259405,10393,1018,130,6.729788780212402
-0.231187815,0.1235723294,-0.025615712,-0.1,0.020456658745738196,0.001343113958053518,9679,198,13,6.711484432220459
-0.019388736,-0.061950846,-0.076148074,-0.18,0.041236210821222204,0.010768691997898792,11422,471,123,6.8605873584747314
0.0045464932,0.0341446335,-0.031283521,-0.24,0.051722626457438414,0.013763478565792934,11407,590,157,6.797680377960205
-0.254579488,0.1928721783,0.0040214055,-0.3,0.00012865045670912132,0.0006432522835456066,7773,1,5,6.655575513839722
-0.217579069,0.0455117349,-0.047799026,-0.18,0.1042678695350451,0.0018216516308119362,11528,1202,21,6.954755783081055
-0.223391828,0.0576061682,-0.038171513,-0.18,0.11890856869315462,0.0019147917663954045,10445,1242,20,6.736974239349365
-0.129503901,0.048903133,0.0007908151,-0.18,0.14324402746880743,0.011122932585356418,10339,1481,115,6.866474390029907
0.0499307486,-0.0999858,-0.062432139,-0.24,0.0,0.00036975411351451286,10818,0,4,6.754364967346191
-0.060127996,-0.011444413,-0.0304375,-0.13,0.06584093872229466,0.003585397653194263,12272,808,44,6.86870551109314
0.0472106041,0.0594667636,0.0477567453,-0.13,0.07932220039292731,0.015471512770137525,12216,969,189,6.858299732208252
-0.23453524,0.0321908169,0.0027225752,-0.1,0.02317660125879304,0.0017771195853387633,13505,313,24,6.78344202041626
-0.122150514,0.1948163371,0.0003385254,-0.3,0.001702541651465402,0.0007296607077708865,8223,14,6,6.714474439620972
-0.066747395,0.0905651825,-0.040793241,-0.24,0.08182447808449589,0.017017908380330463,10107,827,172,6.875135660171509
-0.115097154,0.1604459159,-0.052223091,-0.13,0.0712017211351296,0.007068947853703514,9761,695,69,6.832901477813721
-0.186877008,-0.023485253,0.028746152,-0.1,0.014136967747396936,0.0011851350207398629,11813,167,14,6.750085830688477
-0.173094484,-0.03979967,-0.069113705,-0.1,0.00897596757069781,0.003088504970562687,10361,93,32,6.7389490604400635
0.0380878666,0.0710765888,-0.010134629,-0.1,0.07856817837099954,0.008266343091157287,13186,1036,109,6.9124884605407715
-0.105181894,-0.062830803,0.0397819182,-0.1,0.044317900470413465,0.002063216967896344,12117,537,25,6.7775349617004395
-0.161289013,0.0364503316,0.0773305173,-0.13,0.053874221936037775,0.0041496744651928165,13977,753,58,6.855136156082153
-0.294563667,0.1054788619,0.0064372848,-0.13,0.06681874346545005,0.001520767987833856,10521,703,16,6.762750148773193
-0.205430072,-0.042203606,-0.072909428,-0.18,0.07260345730749083,0.001676270298585647,9545,693,16,6.858384847640991
-0.045200041,0.1777241628,0.0090281212,-0.24,0.002497253021676156,0.0025971431425432026,10011,25,26,6.728174209594727
-0.294505502,-0.096249304,-0.003400148,-0.24,0.0023504273504273503,0.0007478632478632479,9360,22,7,6.8011839389801025
-0.023280215,0.1162289987,0.0436500209,-0.18,0.07436853002070393,0.013664596273291925,12075,898,165,6.769076347351074
-0.078005081,0.1690635706,-0.076017441,-0.1,0.018518518518518517,0.003150057273768614,10476,194,33,6.737138748168945
-0.134204768,0.1915849604,-0.062457792,-0.1,0.01911015288122305,0.00382203057624461,10204,195,39,6.749502658843994
0.0486343484,0.0288035672,-0.036349724,-0.3,0.0,0.0003978357733927435,12568,0,5,6.774737358093262
-0.15844782,0.0984307351,0.0169028098,-0.18,0.16095922366333862,0.013343286367453579,10717,1725,143,6.905691385269165
-0.258040247,-0.007802393,-0.044581296,-0.24,0.11429516146809214,0.0005510856387082552,9073,1037,5,6.820384502410889
-0.22190878,-0.075491974,-0.06530708,-0.3,0.0,0.000490737332842596,8151,0,4,6.736814975738525
-0.186983991,0.1465046918,0.0736793958,-0.1,0.021096042509318742,0.002537869775557142,12609,266,32,6.811573028564453
-0.058016104,-0.026116433,0.0630783999,-0.13,0.08577388402169378,0.00951188986232791,11985,1028,114,6.924302339553833
-0.253143764,-0.054136368,-0.031615388,-0.1,0.013552758954501452,0.0017424975798644724,10330,140,18,6.835968971252441
