Ex,Ey,Ez,mesh_voltage,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
0.0497620341,0.0352785232,0.0552688778,80,0.0824670131947221,0.014294282287085167,10004,825,143,6.805730104446411
0.0090451289,0.0866803583,-0.009890215,80,0.08542465076029175,0.008777351959451106,8089,691,71,6.746962308883667
-0.139795491,0.0632645672,-0.063175851,80,0.03088803088803089,0.0016891891891891893,8288,256,14,6.707766056060791
-0.248650622,0.0608329553,0.0739425882,80,0.0025161360901433103,0.0014221638770375233,9141,23,13,6.730103015899658
-0.006921841,-0.004647223,-0.059302795,100,0.04405251502689023,0.009965200885795633,12644,557,126,6.783186197280884
-0.110494658,0.0480022778,-0.045701158,100,0.06247790738776953,0.006539413220219159,11316,707,74,6.770707368850708
-0.022479852,0.073414644,0.0049464554,100,0.11873806709700882,0.01709246295117738,10999,1306,188,6.85515832901001
-0.021892064,-0.056098091,0.0525660806,100,0.07242858298939872,0.01529497450837582,12357,895,189,6.785624027252197
-0.184698987,0.004345143,0.0214221979,100,0.11897335353355316,0.0036538632920417075,11221,1335,41,6.80783486366272
-0.061681064,0.1995188103,-0.058189469,100,0.021601268331351564,0.008125247720967102,10092,218,82,6.707812070846558
-0.104725034,-0.091916909,0.0588090911,100,0.08122109158186865,0.012858464384828861,10810,878,139,6.8714189529418945
-0.293236544,-0.036209379,-0.008512466,100,0.021793878341728013,0.0007748934521503294,10324,225,8,6.766561269760132
0.0223292983,-0.023574394,0.0428497957,100,0.07980643044619423,0.013779527559055118,12192,973,168,6.816397666931152
-0.282061501,0.1483303484,0.0056106755,100,0.03805869542673442,0.0009333195063776833,9643,367,9,6.79141092300415
-0.093689123,-0.003336641,0.0030439009,100,0.1274226080855915,0.006928001403139525,11403,1453,79,6.446957588195801
0.0401634496,0.1296047961,0.0785860294,100,0.03433442828093227,0.011575160331612702,12786,439,148,6.775274753570557
-0.145362649,-0.029680717,-0.002398996,100,0.1230631704410012,0.00566150178784267,10068,1239,57,6.844338893890381
0.035624599,0.0982404253,-0.073868022,100,0.03374233128834356,0.012027768808524379,12388,418,149,6.738426685333252
-0.112839948,0.0946326106,0.0518539436,100,0.11378361586935298,0.015354575308422828,11267,1282,173,6.788282871246338
-0.261702007,0.0761665961,-0.013353009,100,0.042211774325429274,0.0011242845461978742,9784,413,11,6.687328577041626
-0.132899123,0.0400754034,0.0108863928,100,0.14653724099309315,0.006906850849355983,10714,1570,74,6.8431665897369385
-0.170279473,0.1910530696,0.0474766643,100,0.016811955168119553,0.0010377750103777502,9636,162,10,6.7435572147369385
-0.345834664,-0.095819458,-0.055307869,100,0.0009664170089393573,0.0012080212611741967,8278,8,10,6.763842821121216
-0.331161605,0.0655700436,-0.036244881,100,0.012477718360071301,0.0010485477613505294,9537,119,10,6.721520900726318
-0.085426715,-0.079905204,-0.025868226,100,0.08921529968454259,0.015970031545741326,10144,905,162,6.718467712402344
-0.026183611,0.1382883425,-0.048782963,100,0.056255625562556255,0.007920792079207921,11110,625,88,6.786074876785278
-0.046220644,0.0448666901,-0.055173986,100,0.05579255541614387,0.008699289000418236,11955,667,104,6.739612102508545
0.0494560202,-0.030347568,-0.040082651,100,0.04506916555109326,0.014547077197679607,11205,505,163,6.685048818588257
0.0115587961,-0.093499695,0.0312173771,100,0.04686002961414511,0.01707168365124989,11481,538,196,6.732838869094849
-0.112298775,0.1597291899,-0.02924587,100,0.07194244604316546,0.003857783338546554,9591,690,37,6.834163665771484
-0.118710182,0.1291925055,0.0211136955,100,0.12687612567540524,0.008605163097858715,9994,1268,86,6.798332691192627
-0.306560549,0.1259538226,-0.01735696,100,0.016339869281045753,0.001265022137887413,9486,155,12,6.714986085891724
-0.014832557,-0.050415287,-0.051348283,100,0.04867813680234998,0.014855224506924045,11915,580,177,6.782163619995117
-0.28547138,0.0912722976,-0.019773628,100,0.01951967296882984,0.0006131834440470108,9785,191,6,6.7406182289123535
-0.121499831,-0.010473258,0.0337165902,100,0.13245511143192276,0.008571686366507264,11083,1468,95,6.757359266281128
-0.210350874,-0.076471743,0.0534614204,100,0.023651368760064413,0.001006441223832528,9936,235,10,6.7929770946502686
-0.327151515,0.118529423,-0.077317456,100,0.0075955376216472826,0.0013054830287206266,8426,64,11,6.700171232223511
-0.00102527,0.0987283446,0.0458586909,100,0.07682333873581848,0.01766612641815235,12340,948,218,6.7979536056518555
-0.017476723,0.1686915112,-0.03951196,100,0.03055366352048263,0.004573319061983069,10277,314,47,6.764549732208252
-0.329755701,0.008476435,0.0246708205,100,0.021431913897987834,0.0011230697239120262,10685,229,12,6.705664873123169
-0.259906682,0.1366390192,0.0285213316,100,0.045454545454545456,0.0010822510822510823,9240,420,10,6.764988899230957
-0.221714763,0.1400532381,-0.072796506,100,0.01529087146470453,0.0013796275005748448,8698,133,12,6.768771648406982
-0.024642328,-0.007643457,-0.027584867,100,0.09123093681917212,0.012254901960784314,11016,1005,135,6.764965772628784
-0.004030137,0.0074373537,0.0687518268,100,0.06634328358208955,0.014328358208955224,13400,889,192,6.762922286987305
-0.294882533,0.0565554354,0.0636949523,100,0.00169103750124341,0.001193673530289466,10053,17,12,6.719434499740601
-0.334338136,0.1788520344,-0.067467076,100,0.0011234552490325801,0.0006241418050181001,8011,9,5,6.726025819778442
-0.124034122,0.051870983,0.0565221931,100,0.10480811645346273,0.015527128363475959,11335,1188,176,6.851089715957642
