RF_amplitude,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,act_RF_amplitude
3,46,0.16544702513522114,0.0019090041361756285,9429,1560,18,5.419220685958862,11.603
2,104,0.1529039070749736,0.002006335797254488,9470,1448,19,5.105886697769165,11.156
2,82,0.1503887527958249,0.0017041218447118968,9389,1412,16,5.270934820175171,11.164
3,58,0.1592854086435601,0.0024604193410355155,9348,1489,23,5.3631274700164795,11.606
3,120,0.17577403585008147,0.001520912547528517,9205,1618,14,5.159117698669434,11.604
3,63,0.13088109495295125,0.0014970059880239522,9352,1224,14,5.120840549468994,11.603
3,64,0.13514639991664062,0.0032301760966968844,9597,1297,31,5.1980226039886475,11.598
4,3,0.20109349371241114,0.002405686167304538,9145,1839,22,5.255803346633911,11.966
3,76,0.16763378465506126,0.002256608639587363,9306,1560,21,5.1414573192596436,11.597
2,93,0.14247200331812526,0.002073828287017835,9644,1374,20,5.160735845565796,11.158
2,70,0.14560439560439561,0.001162299239222316,9464,1378,11,5.240667819976807,11.16
4,1,0.2066518847006652,0.0019955654101995565,9020,1864,18,5.241487503051758,11.969
2,97,0.1361969617600838,0.0025144054478784704,9545,1300,24,5.220593214035034,11.151
3,24,0.1868827823100043,0.001395448690425075,9316,1741,13,5.18257737159729,11.603
4,35,0.07409045670684507,0.006634966272254783,9043,670,60,5.162347078323364,11.969
2,98,0.13901819720694034,0.0026449428692340246,9452,1314,25,5.129928112030029,11.152
3,77,0.17270518643709729,0.0023238618358508503,9467,1635,22,5.165764331817627,11.603
2,69,0.15493252432262788,0.0014645883460613035,9559,1481,14,5.213414192199707,11.156
2,24,0.1537510305028854,0.0015457543281121187,9704,1492,15,5.199397802352905,11.165
2,38,0.12934962717481358,0.0016570008285004142,9656,1249,16,5.29023289680481,11.16
3,25,0.1752879808737231,0.0021734405564007822,9202,1613,20,5.188523054122925,11.607
3,3,0.18331515812431842,0.0022900763358778627,9170,1681,21,5.225199937820435,11.602
2,68,0.14958950847638341,0.0017059387994455698,9379,1403,16,5.354888439178467,11.163
4,99,0.18873115439639046,0.002090899086607241,9087,1715,19,5.164689302444458,11.973
4,102,0.17056229327453143,0.006063947078280044,9070,1547,55,5.134276628494263,11.962
4,48,0.1968906283974777,0.0021743857360295715,9198,1811,20,5.223552942276001,11.959
3,49,0.17509557618787547,0.0018569087930092845,9155,1603,17,5.204306602478027,11.593
3,6,0.18661476916423397,0.0014055573575521678,9249,1726,13,5.165223836898804,11.602
3,27,0.18053459797370122,0.002586764388876913,9278,1675,24,5.197965145111084,11.594
4,57,0.1917793517922301,0.0030049366816913502,9318,1787,28,5.234400987625122,11.968
2,87,0.14840916157114728,0.0015545652399212354,9649,1432,15,5.1276631355285645,11.147
4,64,0.1641903531438415,0.0034453057708871662,9288,1525,32,5.144127368927002,11.968
3,57,0.16723440493932298,0.0019161166702150309,9394,1571,18,5.137362957000732,11.593
4,65,0.15951607482916993,0.0043687689033269856,8927,1424,39,5.270556449890137,11.961
3,53,0.1725310938662698,0.0034017221218241734,9407,1623,32,5.140916585922241,11.589
4,78,0.19293239683933275,0.00252414398595259,9112,1758,23,5.412269353866577,11.96
4,16,0.20151548429606853,0.004063254996705469,9106,1835,37,5.282227993011475,11.955
4,17,0.198109153416416,0.001826385904598195,9308,1844,17,5.192981481552124,11.959
3,62,0.13969795037756202,0.003451995685005394,9270,1295,32,5.212624788284302,11.593
4,14,0.20405479452054795,0.0014246575342465753,9125,1862,13,5.20081090927124,11.957
3,10,0.18571889450478546,0.0023658457898698784,9299,1727,22,5.224259376525879,11.587
2,39,0.14187714374805113,0.0019748466895333125,9621,1365,19,5.283123970031738,11.148
2,12,0.15272456364410386,0.0017028522775649213,9396,1435,16,5.185097932815552,11.156
3,115,0.152776303216902,0.0026542095763881514,9419,1439,25,5.141654968261719,11.601
4,101,0.17407850385995433,0.002392084375339785,9197,1601,22,5.191527605056763,11.962
