U2,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,act_RF_amplitude
-0.16,75,0.16052243522224563,0.008953022961870656,9494,1524,85,5.378886938095093,12.003
-0.18,79,0.18606367278094033,0.0035842293906810036,9486,1765,34,5.319421768188477,12.005
-0.14,17,0.16617910729451732,0.0029253562328961026,10597,1761,31,5.383029460906982,11.999
-0.14,67,0.15407033223236838,0.009228676899164562,10294,1586,95,5.258151531219482,11.995
-0.16,13,0.1986208337686762,0.002194128095287849,9571,1901,21,5.43042254447937,12.003
-0.14,8,0.17160319699106724,0.0027268453220498355,10635,1825,29,5.428399562835693,11.999
-0.16,73,0.12387364060072502,0.01957534955981357,9655,1196,189,5.304907560348511,12.005
-0.16,33,0.1653437789918565,0.005154107823935676,9701,1604,50,5.297973394393921,11.999
-0.18,84,0.14760185662712738,0.004847859721505931,9695,1431,47,5.323460817337036,12.001
-0.18,75,0.17111018537804623,0.004686523640908144,9602,1643,45,5.381561994552612,11.999
-0.16,54,0.19128553770086526,0.003708281829419036,9708,1857,36,5.353108167648315,11.997
-0.16,39,0.193213084683583,0.0036686028737389176,9813,1896,36,5.306920528411865,12.003
-0.14,110,0.1654828181992705,0.006335189095795738,10418,1724,66,5.390386581420898,11.999
-0.18,56,0.18932748538011696,0.0030284043441938177,9576,1813,29,5.293299913406372,11.999
-0.14,61,0.15660731021555763,0.007497656982193065,10670,1671,80,5.350749254226685,11.994
-0.14,115,0.16328688130706392,0.005766458433445459,10405,1699,60,5.343002080917358,11.994
-0.18,19,0.19322484904308668,0.0023539044110121787,9771,1888,23,5.389543294906616,12.003
-0.14,111,0.16813992853112658,0.005736317472258792,10634,1788,61,5.404625415802002,11.999
-0.16,99,0.19667155118275068,0.004500732677412602,9554,1879,43,5.376710891723633,11.999
-0.16,110,0.18406537282941776,0.006128702757916241,9790,1802,60,5.385525226593018,11.997
-0.14,18,0.17668071075288513,0.0045795933321121085,10918,1929,50,5.413214206695557,11.997
-0.16,26,0.16906770940522742,0.008643753858818687,9718,1643,84,5.383171081542969,12.0
-0.14,25,0.16201797079745414,0.006926244852115313,10684,1731,74,5.286948204040527,12.0
-0.14,102,0.1404974016332591,0.016425389755011136,10776,1514,177,5.346536159515381,11.997
-0.18,77,0.18170399832530876,0.0032447142558090854,9554,1736,31,5.365105628967285,12.0
-0.16,66,0.16110826064648537,0.008414571575166752,9745,1570,82,5.409987688064575,11.997
-0.16,89,0.19261870205266432,0.002488077959776073,9646,1858,24,5.348809242248535,12.0
-0.16,18,0.1986069855577179,0.002253405715456315,9763,1939,22,5.355164289474487,12.003
-0.16,36,0.18495361032674465,0.004033884630899556,9916,1834,40,5.329297304153442,11.996
-0.16,106,0.1766326530612245,0.00836734693877551,9800,1731,82,5.454021215438843,11.999
-0.18,116,0.17315971857607898,0.003885330253071511,9523,1649,37,5.3807532787323,11.999
-0.18,15,0.1947797379552254,0.0017538429794697204,9693,1888,17,5.336344003677368,11.996
-0.16,56,0.18302277432712216,0.0036231884057971015,9660,1768,35,5.38759183883667,11.999
-0.18,26,0.190084388185654,0.0027426160337552744,9480,1802,26,5.312523126602173,12.0
-0.16,48,0.19204361873990308,0.0032310177705977385,9904,1902,32,5.564764976501465,12.0
-0.16,74,0.15129189581820068,0.012348241153886065,9637,1458,119,5.363628625869751,11.997
-0.14,20,0.16900200171575636,0.004575350300257364,10491,1773,48,5.431717395782471,11.997
-0.18,42,0.18010327747918642,0.0018969332911792601,9489,1709,18,5.351473569869995,12.0
-0.14,80,0.16510157148332694,0.008049060942889995,10436,1723,84,5.3779497146606445,12.001
-0.16,44,0.20145985401459854,0.0039303761931499155,8905,1794,35,7.550462484359741,11.999
-0.14,19,0.17386264850767894,0.0028011204481792717,10353,1800,29,5.4292614459991455,12.0
-0.18,62,0.1626264755480607,0.0041104553119730184,9488,1543,39,5.31463360786438,11.999
-0.14,105,0.15281629530458066,0.008032896624270824,10457,1598,84,5.379043817520142,11.997
-0.18,39,0.1752314075965528,0.0027662517289073307,9399,1647,26,5.367110252380371,11.996
-0.14,119,0.17504761904761904,0.004,10500,1838,42,5.6408531665802,11.997
-0.14,32,0.163945319916461,0.003892158724131384,10534,1727,41,5.399664640426636,12.0
-0.14,37,0.17471178179773175,0.002905614396850689,10669,1864,31,5.330563306808472,11.996
-0.16,34,0.16046946406314916,0.006751142501038638,9628,1545,65,5.353971719741821,11.997
-0.16,119,0.18412039439543332,0.002594706798131811,9635,1774,25,5.387121677398682,11.999
-0.18,73,0.1581998313659359,0.0065345699831365935,9488,1501,62,5.456794500350952,12.001
-0.18,96,0.18671358498613777,0.002345915973555129,9378,1751,22,5.411763906478882,12.0
-0.18,11,0.1968512370140302,0.0028917211095641,9337,1838,27,5.3775389194488525,12.001
-0.16,108,0.19330061873266483,0.007680819287390655,9374,1812,72,5.296566486358643,12.003
-0.14,60,0.16340621403912542,0.007383966244725738,10428,1704,77,5.36716103553772,12.003
-0.14,112,0.16835317460317462,0.004365079365079365,10080,1697,44,5.499125242233276,12.003
-0.18,105,0.11710652847526445,0.007906827652526979,9359,1096,74,5.368328094482422,11.997
-0.14,7,0.17637383900928794,0.0021284829721362228,10336,1823,22,5.381016254425049,11.997
-0.18,22,0.19031363345423513,0.0026669511414550884,9374,1784,25,5.356214761734009,11.999
-0.18,98,0.18939147412951512,0.0030372057706909645,9219,1746,28,5.369171142578125,12.003
-0.14,11,0.17734037445991357,0.002400384061449832,10415,1847,25,5.486931562423706,12.0
-0.16,46,0.18596046093667407,0.0029601437784120945,9459,1759,28,5.360752582550049,11.997
-0.14,104,0.14299433400556996,0.01258042831076539,10413,1489,131,5.327122688293457,11.994
-0.14,82,0.16379984362783426,0.011043784206411259,10232,1676,113,5.2981858253479,11.996
-0.16,58,0.19053142134120624,0.004428511176718684,9484,1807,42,5.274723291397095,11.984
-0.16,120,0.18506224066390042,0.003838174273858921,9640,1784,37,5.497649908065796,11.983
-0.16,63,0.1726958162944322,0.004194191045402118,9537,1647,40,5.528504848480225,11.988
