act_RF_mW,RF_set_dBm,peak_idx,amp,mu,sigma
12.00092624945035,0.8,5,0.0136794609983883,123.67892745659606,1.8248866073049188
12.00092624945035,0.8,6,0.00939459930747,136.71088137340627,0.578938878799081
12.557789890791137,1.0,0,0.006790641345387,45.1900854140942,1.1217601474723162
12.557789890791137,1.0,1,0.0276560308063627,50.600358816133934,0.8704445999402484
12.557789890791137,1.0,2,0.0290196579469601,54.92137957161817,1.2159046557829594
12.557789890791137,1.0,3,0.0133543022728515,69.8118191885847,0.5372556597550195
12.557789890791137,1.0,4,0.0516016063082037,108.32582531138634,0.7374708108511934
12.557789890791137,1.0,5,0.0199361369315492,121.00850487332688,0.66764097144471
12.557789890791137,1.0,6,0.0139441596381645,124.60090176727822,1.0082619517546247
12.83842079799632,1.2,0,0.0333876058078834,50.81262153565489,1.182792671272107
12.83842079799632,1.2,1,0.031718309419209,55.89821565732316,1.897761041879644
12.83842079799632,1.2,2,0.0138134701739846,71.1103484595158,0.6658521336912314
12.83842079799632,1.2,3,0.0094404071868921,103.01299843026035,1.0160893022484685
12.83842079799632,1.2,4,0.0448389416116097,109.2306731268559,0.6459100869383506
12.83842079799632,1.2,5,0.0101936131986579,119.40668666844287,1.1916544183038904
12.83842079799632,1.2,6,0.0151093581972375,122.3150491772826,0.6279328276770149
12.83842079799632,1.2,7,0.0109782126537624,128.5890886469077,0.8947303357763748
13.173081903542156,1.4,0,0.0158171362217213,50.44362820591305,0.742779449965167
13.173081903542156,1.4,1,0.0474193435177712,58.99137665490166,1.8332681849764945
13.173081903542156,1.4,2,0.0140585495951112,71.7843984980893,0.7353670975101717
13.173081903542156,1.4,3,0.0405911909673928,111.3374465609406,0.5000000000000001
13.173081903542156,1.4,4,0.0146254602285482,122.29255689740256,1.5077018942975489
13.173081903542156,1.4,5,0.0104512047004277,129.98084195805097,1.275266190971828
13.387943167997838,1.6,0,0.0098128261672931,50.22712057019089,0.5000000000000001
13.387943167997838,1.6,1,0.0581190959446557,58.97539130263264,2.099421111826273
13.387943167997838,1.6,2,0.0139965633210894,72.3549678332233,0.6911227009272516
13.387943167997838,1.6,3,0.0593347886390646,111.57856289158104,0.5000000000000001
