tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,act_RF_amplitude
52,0.19588292055323256,0.011418462528144097,6218,1218,71,7.889763116836548,12.167
128,0.18640093786635403,0.009546139675096299,5971,1113,57,7.774144887924194,12.167
163,0.19917210635249163,0.0031842063365706097,6281,1251,20,7.817550182342529,12.166
42,0.1983206106870229,0.011603053435114504,6550,1299,76,8.970637321472168,12.168
119,0.19557135930176175,0.010344270244060125,6187,1210,64,7.8442018032073975,12.167
114,0.1683892510733026,0.024487199872793766,6289,1059,154,7.8695969581604,12.167
27,0.195020105165481,0.011599133931333128,6466,1261,75,7.771069049835205,12.166
140,0.1831390707328756,0.012134759699824365,6263,1147,76,7.949906587600708,12.163
101,0.19318181818181818,0.012175324675324676,6160,1190,75,7.77002739906311,12.163
112,0.16474785146748824,0.029998378466028864,6167,1016,185,7.80544638633728,12.16
3,0.208,0.00368,6250,1300,23,7.788454294204712,12.159
78,0.1602655286865813,0.03366524419155998,6327,1014,213,7.9127161502838135,12.16
47,0.2004626060138782,0.008789514263685428,6485,1300,57,7.7756431102752686,12.16
188,0.20385761329778893,0.0043907793633369925,6377,1300,28,7.977654218673706,12.158
192,0.20588235294117646,0.006074168797953964,6256,1288,38,7.84468674659729,12.159
86,0.1924468922108576,0.014634146341463415,6355,1223,93,7.759507179260254,12.158
162,0.19440470513431887,0.006835161341599109,6291,1223,43,7.724977493286133,12.158
37,0.12387736141220192,0.048467017652524,6458,800,313,7.755856513977051,12.158
191,0.1994810744810745,0.00808913308913309,6552,1307,53,7.822053670883179,12.158
62,0.19247180737580005,0.01386772325510515,6562,1263,91,7.7551493644714355,12.154
23,0.21401574803149606,0.0051968503937007875,6350,1359,33,7.789968252182007,12.155
142,0.18979686773143123,0.01488602884168088,6449,1224,96,7.745445728302002,12.16
102,0.19864310508046704,0.01309561375828337,6338,1259,83,7.778487920761108,12.159
34,0.1661807580174927,0.025318398035906093,6517,1083,165,7.8282904624938965,12.155
12,0.20439243347226677,0.0048092337287592175,6238,1275,30,7.733078479766846,12.158
195,0.20590111642743222,0.005741626794258373,6270,1291,36,7.788038730621338,12.162
160,0.18848668473927604,0.009567852017222133,6271,1182,60,7.909026145935059,12.16
7,0.20268940636274188,0.0045916693998032145,6098,1236,28,7.764540433883667,12.16
28,0.1900474709445081,0.012113275495171058,6109,1161,74,7.837694883346558,12.158
121,0.19993622448979592,0.009247448979591837,6272,1254,58,7.804727554321289,12.16
5,0.2077156065678304,0.00430416068866571,6273,1303,27,7.80683159828186,12.162
33,0.1742019121698266,0.02463134013936153,6171,1075,152,7.7370171546936035,12.158
143,0.17976075008082767,0.01568056902683479,6186,1112,97,7.79561185836792,12.16
146,0.2013019529293941,0.009013520280420632,5991,1206,54,7.796586275100708,12.16
110,0.0930422030307968,0.060127097930584975,6137,571,369,7.684473991394043,12.163
145,0.19820419022281344,0.007316262055204523,6014,1192,44,7.7371978759765625,12.162
11,0.2023198011599006,0.0034797017398508698,6035,1221,21,7.751284837722778,12.166
63,0.1863405023805615,0.016417665407978985,6091,1135,100,7.837822198867798,12.17
113,0.16089712335446124,0.026653664878920853,6153,990,164,7.738179445266724,12.166
147,0.19439102564102564,0.007852564102564102,6240,1213,49,7.7430009841918945,12.162
167,0.19743589743589743,0.005288461538461539,6240,1232,33,7.759430646896362,12.163
1,0.18977384464110128,0.0042608980662078005,6102,1158,26,7.847854375839233,12.164
199,0.19935535858178888,0.0035455278001611606,6205,1237,22,7.735310077667236,12.163
154,0.19313374552554508,0.006345590628050765,6146,1187,39,7.8151021003723145,12.164
71,0.16163117054647516,0.027406306752517748,6057,979,166,7.733234882354736,12.162
124,0.18733288770053477,0.00768716577540107,5984,1121,46,7.715259790420532,12.164
65,0.18319582421283045,0.01869001515406634,5939,1088,111,7.7816784381866455,12.163
45,0.18919831223628691,0.007426160337552743,5925,1121,44,7.786149978637695,12.16
164,0.19167489305692662,0.004442250740375123,6078,1165,27,7.806161642074585,12.163
29,0.1912559081701553,0.012153950033760972,5924,1133,72,7.889417886734009,12.163
41,0.18027838336407848,0.01727318463860473,5963,1075,103,7.8140270709991455,12.162
109,0.13904470508244093,0.04487506374298827,5883,818,264,7.8616790771484375,12.16
156,0.19054510371442354,0.006753497346840328,6219,1185,42,7.816598176956177,12.165
157,0.19555839590988977,0.007029876977152899,6259,1224,44,7.908880949020386,12.159
26,0.19676375404530744,0.007928802588996763,6180,1216,49,7.674694061279297,12.165
24,0.20952687479884133,0.003701319600901191,6214,1302,23,7.933462619781494,12.162
185,0.20797949046627143,0.006569460022432303,6241,1298,41,7.789840459823608,12.164
148,0.20019218449711723,0.008327994875080076,6244,1250,52,7.863317012786865,12.165
82,0.16922828021355768,0.026047565118912798,6181,1046,161,7.807401418685913,12.164
40,0.1816029759891782,0.014879945891105851,5914,1074,88,7.921001434326172,12.164
169,0.19679865206402697,0.005391743892165122,5935,1168,32,7.882948160171509,12.167
48,0.19508086253369272,0.009097035040431268,5936,1158,54,7.7508416175842285,12.162
95,0.18060586104708595,0.007737899242673691,6074,1097,47,7.7350146770477295,12.169
