tickle_level,tickle_pulse_length,tickle_frequency,wait_time,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,keysight_amplitude
-15,250,69,260,0.05644450044097266,0.01650497669144513,15874,896,262,6.726725339889526,12.225
-5,80,39,90,0.09981667614893483,0.004741134079271762,15819,1579,75,5.612483501434326,12.23
-10,80,44,90,0.10755321152759464,0.004081120110504175,15927,1713,65,5.802446365356445,12.228
-10,600,26,610,0.0193376843123036,0.022600918540004834,16548,320,374,10.152854204177856,12.226
-10,80,50,90,0.10129146619397315,0.005507723474297291,15796,1600,87,5.863125562667847,12.225
-15,600,51,610,0.042054881940012764,0.017166560306317805,15670,659,269,10.123602628707886,12.226
-5,250,15,260,0.07807096195721788,0.008710131932880748,15614,1219,136,6.631827354431152,12.228
-10,80,73,90,0.09290734824281151,0.014568690095846645,15650,1454,228,5.709552049636841,12.225
-10,80,33,90,0.0969088869500187,0.004175495450579584,16046,1555,67,5.901327610015869,12.225
-5,600,25,610,0.012695619382816919,0.036704166928540005,15911,202,584,10.038430452346802,12.224
-15,80,40,90,0.11064612263014394,0.003741043687781371,15771,1745,59,5.694678783416748,12.226
-10,80,51,90,0.10863475825112653,0.0034100596760443308,16422,1784,56,6.039815425872803,12.226
-15,250,35,260,0.07869658776513987,0.008484475868429143,16265,1280,138,6.685920476913452,12.22
-5,80,44,90,0.10297381269418553,0.005389639211210449,15771,1624,85,5.708806991577148,12.224
-5,80,16,90,0.1087815447361713,0.002676523069079786,15692,1707,42,5.750446557998657,12.225
-5,600,55,610,0.0376646669552848,0.027831034696023254,16169,609,450,10.019934177398682,12.226
-5,250,46,260,0.0634722308989817,0.012806896982570126,16007,1016,205,6.736375570297241,12.222
-15,250,57,260,0.08336467343612887,0.009025949605114705,15954,1330,144,6.656622886657715,12.225
-15,80,35,90,0.11392405063291139,0.00417903216037793,16511,1881,69,6.021255254745483,12.226
-5,600,16,610,0.041086731902996415,0.018416094329301646,16453,676,303,10.094318866729736,12.226
-15,80,44,90,0.10923252279635258,0.0027228976697061804,15792,1725,43,5.69205641746521,12.225
