tickle_level,tickle_pulse_length,tickle_frequency,wait_time,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,keysight_amplitude
-10,600,78,610,0.03344354018311292,0.030328077314343845,15728,526,477,10.145035028457642,12.227
-15,600,16,610,0.04914375697132734,0.014894035824420969,15241,749,227,10.077374696731567,12.224
-15,600,17,610,0.044771154869611494,0.016830761043108038,15032,673,253,10.13410210609436,12.224
-10,250,15,260,0.08145057766367138,0.0082798459563543,15580,1269,129,6.707298278808594,12.227
-10,80,28,90,0.09648343277897677,0.007617113114129745,15754,1520,120,5.709627628326416,12.228
-15,80,34,90,0.1146455466112698,0.002856400934822124,15404,1766,44,5.454564571380615,12.226
-15,600,42,610,0.043859649122807015,0.016634178037686808,15390,675,256,10.121333122253418,12.226
-15,600,50,610,0.036031262418863425,0.017883163332891774,15098,544,270,10.131198644638062,12.226
-5,600,21,610,0.031789459970034524,0.0221483942414175,15351,488,340,10.024001598358154,12.227
-10,600,52,610,0.04013377926421405,0.017706079087153256,15249,612,270,10.07866883277893,12.226
-15,250,40,260,0.08223068482540502,0.008519976763699736,15493,1274,132,6.754586458206177,12.228
-5,600,60,610,0.029948730774040266,0.02557208953357509,15994,479,409,10.105070352554321,12.227
-5,250,54,260,0.06695689496596971,0.01680053957937335,16309,1092,274,6.659847736358643,12.226
-5,600,28,610,0.009638104713344111,0.036873523193632636,16082,155,593,10.078166723251343,12.228
-15,80,15,90,0.11101952827796094,0.003487192493025615,15772,1751,55,5.7524800300598145,12.225
-10,600,15,610,0.04518504649566248,0.015602571303750859,16023,724,250,10.099953413009644,12.224
-15,250,63,260,0.06864844438846203,0.011273460133518076,15878,1090,179,6.843485593795776,12.225
-5,600,56,610,0.03506835877628594,0.02354239470296119,16311,572,384,10.099008560180664,12.228
-5,250,45,260,0.0665176076020123,0.012421588721197441,16101,1071,200,6.711704730987549,12.222
-15,80,57,90,0.11209003215434084,0.004372990353697749,15550,1743,68,5.664155721664429,12.225
-5,600,49,610,0.029066093769745987,0.02243144193099962,15826,460,355,10.123877763748169,12.226
-15,600,53,610,0.04447757485401913,0.018697974903714748,16098,716,301,10.163832187652588,12.228
-5,250,58,260,0.06390605686032139,0.0188504326328801,16180,1034,305,6.660866022109985,12.225
-10,250,44,260,0.07912128258475094,0.009117611063517318,16342,1293,149,6.705373764038086,12.228
-15,80,42,90,0.11271817405101917,0.003661662394727206,16386,1847,60,6.015402793884277,12.228
-5,250,26,260,0.040326014232710906,0.024086126148044524,16441,663,396,6.718572378158569,12.225
