RF_amplitude,tickle_frequency,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
6,159,0.05552082741376371,0.008069557310905268,17597,977,142,8.007179975509644
1,122,0.01098112791082662,0.003807526763050436,18122,199,69,7.986424684524536
4,8,0.056910569105691054,0.007361019556141508,18204,1036,134,8.126685380935669
6,115,0.057005494505494504,0.0086996336996337,17472,996,152,8.09346079826355
6,191,0.06029495178672717,0.008791832104367556,17630,1063,155,8.039815425872803
0,45,0.0,0.0020456681594515397,18087,0,37,7.98852276802063
2,53,0.029854059153210145,0.005049664280561567,18021,538,91,8.059194326400757
0,160,0.0014717536510811728,0.0023208422959356957,17666,26,41,7.9642534255981445
4,118,0.04621481438312256,0.007751034442566583,17159,793,133,7.990264654159546
4,246,0.05273415747856109,0.008297137765898207,17958,947,149,8.015388250350952
0,151,0.0007300089847259659,0.002583108715184187,17808,13,46,8.01048994064331
2,241,0.04116713198664258,0.005857557343844091,18267,752,107,8.011487245559692
6,290,0.058409279204639605,0.007219789324180376,16898,987,122,8.00431203842163
4,50,0.04890799256505576,0.0064474907063197025,17216,842,111,8.104677200317383
0,32,0.00040082455336692627,0.002748511223087494,17464,7,48,7.928178071975708
3,279,0.05335042925632735,0.006633961422678114,17938,957,119,7.954917669296265
1,208,0.017049253398707376,0.003454423891241364,17948,306,62,8.007417440414429
1,161,0.018486932599724896,0.004786795048143054,18175,336,87,8.037305116653442
0,181,0.0011018964217363568,0.0020878037464478337,17243,19,36,7.921075344085693
6,272,0.0645331457710568,0.008088623175663794,17061,1101,138,8.005039930343628
4,88,0.0365477506838154,0.01000989349938893,17183,628,172,8.04044771194458
6,234,0.06557377049180328,0.007489090694657389,16958,1112,127,8.075290441513062
0,182,0.0014452537865649207,0.0021389756041160827,17298,25,37,7.992024898529053
6,54,0.05601695400652958,0.0075605704794089006,17459,978,132,8.020046949386597
6,103,0.045339616136076316,0.014596023445580968,17402,789,254,8.076120376586914
4,79,0.051017499857493015,0.006726329590149917,17543,895,118,8.075942516326904
6,228,0.06230307353902859,0.008441828666547767,16821,1048,142,8.063555240631104
0,40,0.00017455053237912376,0.0021527898993425262,17187,3,37,7.981239318847656
1,206,0.014943181818181819,0.003465909090909091,17600,263,61,7.974093675613403
6,158,0.05715834487743179,0.008010600493886647,16603,949,133,8.13383173942566
6,275,0.060387778378053904,0.008403865778257998,16659,1006,140,8.05970025062561
2,207,0.03932518222431225,0.005936985657183165,17012,669,101,7.9707183837890625
1,11,0.016546507505023046,0.0032502068313438126,16922,280,55,7.98393177986145
3,205,0.051665692577440095,0.00619520748100526,17110,884,106,8.144844770431519
0,31,5.9930480642454755e-05,0.001977705861201007,16686,1,33,7.9381232261657715
4,297,0.05640013925960311,0.005164210282000696,17234,972,89,8.001044273376465
0,194,0.0011256591030274305,0.002073582558208425,16879,19,35,8.062132120132446
6,55,0.05554883945841393,0.008764506769825918,16544,919,145,7.9813127517700195
2,199,0.041661635068228474,0.00537374713198889,16562,690,89,8.002185106277466
1,9,0.01707678624369997,0.004032018974206937,16865,288,68,7.97200608253479
6,177,0.057365269461077846,0.007904191616766467,16700,958,132,8.02288293838501
0,111,0.0003441945846718678,0.0022372648003671407,17432,6,39,8.01087236404419
3,136,0.043819713180059186,0.0066583200546323695,17572,770,117,7.997523307800293
6,124,0.04540719406826399,0.008088730927140143,16319,741,132,8.006273746490479
0,214,0.0008348240906380441,0.002206320810971974,16770,14,37,8.088174104690552
6,8,0.06527886408760003,0.00734011190662415,16621,1085,122,8.093292713165283
0,226,0.0008940278936702826,0.0017880557873405651,16778,15,30,7.9318482875823975
0,7,0.0012376237623762376,0.002416313059877416,16968,21,41,7.976790189743042
3,89,0.038392076900669966,0.005767550247596854,17165,659,99,8.124068975448608
4,45,0.043038570084666036,0.006467544684854186,17008,732,110,8.002522945404053
4,5,0.055499254843517136,0.006736214605067064,16775,931,113,7.93550705909729
