no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
2000,12.138,0.17773620205799812,0.007483629560336763,1069,190,8,1.2650225162506104
30000,12.138,0.20132061628760087,0.010491562729273662,13630,2744,143,14.17551326751709
6000,12.138,0.19144532597447395,0.013452914798206279,2899,555,39,3.219787120819092
22000,12.138,0.19711052737926854,0.011113356233582542,9898,1951,110,10.440919399261475
1500,12.138,0.19210053859964094,0.012567324955116697,557,107,7,1.003678560256958
2000,12.139,0.20934761441090555,0.004868549172346641,1027,215,5,1.2368853092193604
60000,12.133,0.20228153892036982,0.010550253504324486,26824,5426,283,28.128952026367188
1000,12.139,0.1504950495049505,0.009900990099009901,505,76,5,0.7626917362213135
12000,12.135,0.19369996519317786,0.00991994430908458,5746,1113,57,5.9097325801849365
2000,12.142,0.19257086999022482,0.007820136852394917,1023,197,8,1.282327651977539
1000,12.139,0.172859450726979,0.012924071082390954,619,107,8,0.8846290111541748
40000,12.141,0.196833182278616,0.01119582022711521,18757,3692,210,18.838902473449707
10000,12.138,0.19355492501013377,0.009323064450749898,4934,955,46,4.920500993728638
1000,12.141,0.2065439672801636,0.0081799591002045,489,101,4,0.8019094467163086
4000,12.138,0.17738970588235295,0.009191176470588236,2176,386,20,2.290869951248169
1500,12.142,0.17647058823529413,0.016227180527383367,493,87,8,1.0178520679473877
30000,12.143,0.20173809700661072,0.010101760380301568,13463,2716,136,14.147104501724243
2000,12.142,0.20160481444332998,0.011033099297893681,997,201,11,1.3637325763702393
40000,12.141,0.19257594097642516,0.009914116087382558,17349,3341,172,18.750523805618286
8000,12.139,0.20566778900112234,0.012065095398428732,3564,733,43,4.044607400894165
15000,12.139,0.19996897300651567,0.011014582686937635,6446,1289,71,7.245337963104248
40000,12.141,0.20214669051878353,0.011210494931425164,16770,3390,188,18.77519726753235
60000,12.135,0.20307200499005887,0.011266617285875795,25651,5209,289,27.96981954574585
12000,12.135,0.19784783839909384,0.012271096847272041,5297,1048,65,5.9064366817474365
1500,12.139,0.19821826280623608,0.013363028953229399,449,89,6,1.0376694202423096
1000,12.135,0.20817120622568094,0.01556420233463035,514,107,8,0.9136147499084473
30000,12.142,0.20333075135553835,0.009992254066615027,12910,2625,129,14.207152605056763
3000,12.139,0.20481049562682216,0.013119533527696793,1372,281,18,1.6675782203674316
30000,12.135,0.19885596250099308,0.010645904504647653,12587,2503,134,14.148243427276611
30000,12.138,0.2021310181531176,0.010734017363851617,12670,2561,136,14.1930251121521
3000,12.142,0.20889894419306185,0.007541478129713424,1326,277,10,1.6681079864501953
1500,12.137,0.1875,0.006048387096774193,496,93,3,1.0126266479492188
22000,12.139,0.1987770864621326,0.011800042909246944,9322,1853,110,10.351300477981567
6000,12.137,0.21195452878621196,0.009900990099009901,2727,578,27,3.1371796131134033
8000,12.135,0.20011584129742252,0.01187373298580944,3453,691,41,3.9979965686798096
60000,12.138,0.199430747336436,0.010308088772645102,25999,5185,268,27.997429370880127
