Ex,Ey,Ez,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost,time_accum,Predicted loading_signal,Detrended_loading_signal
-0.543086172,0.1847695391,-0.783967936,0,0.0002386635,12570,0,3,6.2694876194,1008.4694474,22289.237165,0.5639493136
-0.102204409,-0.098196393,0.0368737475,0.0506387921,0.0113240418,17220,872,195,7.0332791805,1015.5027266,22280.310087,0.772879728
-0.527054108,0.0893787575,0.6108216433,0,0.0002140935,32696,0,7,11.094316959,1026.5970435,22265.872851,1.4684355838
0.5230460922,0.09498998,0.7871743487,0.0000232585,0.0002093267,42995,1,9,14.195181608,1040.7922251,22246.765594,1.9326404918
0.1783567134,-0.082965932,0.3735470942,0,0.0003348588,35836,0,12,12.117168665,1052.9093938,22229.891623,1.6120636397
-0.006012024,-0.193587174,0.469739479,0,0.000497364,40212,0,20,13.376812458,1066.2862062,22210.660464,1.8104819559
-0.675350701,-0.088577154,0.3671342685,0,0.0004631345,21592,0,10,7.9676926136,1074.2538989,22198.904986,0.972660589
0.5430861723,0.0685370741,0.2901803607,0,0.0005342237,29950,0,16,10.59500289,1084.8489017,22182.925413,1.3501375243
0.6953907816,-0.104609218,0.3703406814,0.0000323887,0.0004534413,30875,1,14,10.84697032,1095.6958721,22166.154539,1.3928893235
0.1342685371,-0.086973948,0.5082164329,0.0000259282,0.0002333541,38568,1,9,12.895471096,1108.5913432,22145.674999,1.7415590178
0.9398797595,-0.184769539,-0.312625251,0,0.0003924647,17836,0,7,6.8778996468,1115.4692428,22134.511586,0.8058004773
0.74749499,-0.020440882,0.0400801603,0,0.000710499,18297,0,13,7.0110867023,1122.4803295,22122.959804,0.8270593158
0.1182364729,0.0821643287,0.1651302605,0.0000370069,0.0005180964,27022,1,14,9.6687848568,1132.1491144,22106.743894,1.2223419301
-0.334669339,0.1647294589,-0.713426854,0,0.0004389173,13670,0,6,6.3444149494,1138.4935293,22095.923767,0.618666146
-0.206412826,0.1815631263,0.4633266533,0,0.0004487197,35657,0,16,12.176989555,1150.6705189,22074.757614,1.6152838741
-0.142284569,-0.195991984,0.0817635271,0.0000500025,0.000700035,19999,1,14,7.3783700466,1158.0488889,22061.677319,0.9065040573
-0.703406814,0.0100200401,-0.707014028,0.0000846812,0.0004234059,11809,1,5,6.2436358929,1164.2925248,22050.458271,0.5355444252
-0.819639279,-0.141482966,0.5531062124,0,0.0003937318,25398,0,10,9.1340763569,1173.4266012,22033.797073,1.1526837574
-0.086172345,-0.13987976,0.3478957916,0,0.0003147984,34943,0,11,11.823392391,1185.2499936,22011.792203,1.5874672847
-0.93987976,0.0565130261,-0.591583166,0,0.0004224757,11835,0,5,6.3148472309,1191.5648408,21999.836906,0.5379585335
0.7915831663,-0.152705411,-0.453707415,0.000060573,0.0004845842,16509,1,8,6.5603978634,1198.1252387,21987.267367,0.7508436462
0.3306613226,-0.011623246,0.7070140281,0,0.0001983143,40340,0,8,13.522283077,1211.6475217,21960.878837,1.8369028079
-0.76753507,0.0933867735,0.6909819639,0.000041834,0.0007948461,23904,1,19,8.7170231342,1220.3645449,21943.524889,1.0893418501
0.2665330661,-0.160721443,0.5146292585,0,0.000262605,41888,0,11,13.955052376,1234.3195972,21915.183532,1.911368889
-0.875751503,0.0044088176,-0.126653307,0,0.0006231986,12837,0,8,6.2634115219,1240.5830088,21902.239217,0.5861044559
0.8316633267,-0.061322645,-0.428056112,0,0.0003383408,14778,0,5,6.367487669,1246.9504964,21888.93759,0.6751355537
0.002004008,0.1711422846,-0.184368737,0,0.0007564817,14541,0,11,6.3481781483,1253.2986746,21875.533558,0.6647152154
-1,-0.191983968,-0.620440882,0,0.0006552364,9157,0,6,6.1347379684,1259.4334126,21862.444783,0.4188461122
0.5871743487,0.1422845691,-0.200400802,0,0.0006248438,16004,0,10,6.5112771988,1265.9446898,21848.407035,0.7325019153
-0.418837675,-0.010821643,0.745490982,0.0000312461,0.000343707,32004,1,11,10.992892742,1276.9375825,21824.36705,1.4664342809
-0.082164329,-0.130260521,0.6172344689,0.0000250006,0.00040001,39999,1,16,13.438767433,1290.3763499,21794.397665,1.8352881605
0.0460921844,-0.109418838,-0.787174349,0,0.0010212766,11750,0,12,6.3107280731,1296.687078,21780.10391,0.5394831929
-0.879759519,-0.123847695,0.7134268537,0,0.0005134788,23370,0,12,8.5387134552,1305.2257915,21760.539568,1.0739623403
0.5511022044,-0.013226453,0.5402805611,0.0000542505,0.0002712526,36866,2,10,12.345553875,1317.5713453,21731.796872,1.696408273
-0.991983968,0.0669338677,0.7551102204,0,0.0006443645,18623,0,12,7.199819088,1324.7711644,21714.785538,0.8576184171
0.875751503,0.0837675351,0.2388777555,0.0000409366,0.0004912396,24428,1,12,8.845518589,1333.616683,21693.634859,1.1260445821
0.370741483,0.1991983968,0.2452905812,0,0.0003335681,26981,0,9,9.5359418392,1343.1526248,21670.523336,1.2450553031
0.1422845691,0.1230460922,0.2709418838,0,0.00019338,31027,0,6,10.748252869,1353.9008777,21644.088097,1.4335092271
-0.851703407,-0.082164329,0.7615230461,0,0.0003686636,21700,0,8,7.998717308,1361.899595,21624.150155,1.0035076451
0.2104208417,-0.190380762,-0.690981964,0,0.0004801229,10414,0,5,6.3018629551,1368.201458,21608.282502,0.4819448283
-0.022044088,-0.122244489,0.1138276553,0.0009437969,0.0016044547,21191,20,34,7.8127484322,1376.0142064,21588.415543,0.9815912594
-0.250501002,0.0589178357,0.6813627255,0,0.0002165733,36939,0,8,12.300650597,1388.314857,21556.698845,1.7135740619
-0.795591182,-0.038076152,-0.700601202,0,0.0004596856,10877,0,5,6.2749214172,1394.5897784,21540.313113,0.504960162
0.1703406814,-0.194388778,0.3863727455,0,0.0002497087,36042,0,9,12.244816542,1406.834595,21507.937161,1.6757534547
-0.362725451,-0.069338677,0.7775551102,0,0.0005588327,32210,0,18,11.149348497,1417.9839435,21477.996452,1.4996743328
-0.4749499,-0.119839679,-0.424849699,0,0.0006327612,12643,0,8,6.3487083912,1424.3326519,21460.751046,0.5891219731
0.9238476954,-0.034869739,0.5883767535,0,0.0003125444,35195,0,11,11.950305223,1436.2829571,21427.902964,1.6424845706
-0.422845691,0.1190380762,-0.245290581,0.0000721449,0.0009378833,13861,1,13,6.3585128784,1442.64147,21410.219309,0.6474011219
0.254509018,-0.045290581,-0.059318637,0.0000529297,0.0004763669,18893,1,9,7.177107811,1449.8185778,21390.087273,0.8832596034
0.9278557114,-0.001202405,0.3286573146,0,0.0003798959,26323,0,10,9.3763623238,1459.1949401,21363.511786,1.2321476105
-0.470941884,0.1663326653,0.3607214429,0,0.0003960082,25252,0,10,9.2407712936,1468.4357114,21337.016389,1.1834831796
-0.70741483,0.05250501,-0.434468938,0.0000703977,0.000563182,14205,1,8,6.3428115845,1474.778523,21318.655315,0.6663178231
0.7595190381,-0.018036072,0.6044088176,0,0.0005360493,37310,0,20,12.531249285,1487.3097723,21281.961808,1.7531278524
-0.655310621,-0.086172345,0.6012024048,0,0.0003701647,27015,0,10,9.5297160149,1496.8394883,21253.685508,1.2710736681
-0.95991984,-0.087775551,-0.412024048,0.0000832639,0.0008326395,12010,1,10,6.2912333012,1503.1307216,21234.842333,0.5655798998
0.4669338677,0.1350701403,0.4569138277,0,0.0002571091,38894,0,10,13.13854146,1516.269263,21195.03904,1.8350520575
0.3987975952,0.0629258517,-0.258116232,0.000063678,0.0005731024,15704,1,9,6.4485793114,1522.7178423,21175.279673,0.7416194847
0.4468937876,-0.006813627,0.174749499,0,0.0003443082,23235,0,8,8.4480042458,1531.1658466,21149.171245,1.0986246095
0.0741482966,0.1286573146,-0.469739479,0.0000671186,0.0002013558,14899,1,3,6.371984005,1537.5378306,21129.311737,0.7051341845
0.8557114228,-0.105410822,0.524248497,0.0000300915,0.0004814636,33232,1,16,11.314000368,1548.851831,21093.695649,1.5754470224
-0.755511022,0.0885771543,-0.48256513,0,0.0004775169,12565,0,6,6.274135828,1555.1259668,21073.749747,0.5962394045
-0.951903808,-0.019639279,-0.036873747,0,0.0004893565,12261,0,6,6.3559813499,1561.4819481,21053.401696,0.5823761963
0.4909819639,0.0813627255,-0.421643287,0,0.0004081633,14700,0,6,6.2909450531,1567.7728932,21033.121163,0.6988976998
0.7234468938,-0.048496994,0.1971943888,0,0.0004516304,22142,0,10,8.2018711567,1575.9747643,21006.470054,1.0540562
0.7675350701,0.0645290581,0.0048096192,0,0.0002952117,16937,0,5,6.7297196388,1582.704484,20984.424854,0.807122431
-0.575150301,0.1911823647,-0.25490982,0,0.0010909701,11916,0,13,6.3438079357,1589.0482919,20963.497164,0.5684166104
-0.523046092,0.0244488978,0.395991984,0,0.0003082852,25950,0,8,9.1281385422,1598.1764305,20933.13446,1.2396614587
-0.170340681,0.075751503,0.2933867735,0.004681238,0.0085878827,29693,139,255,10.586758852,1608.7631893,20897.550903,1.420884205
0.1823647295,0.1374749499,0.4056112224,0,0.0003926599,38201,0,15,12.954973698,1621.718163,20853.468139,1.8318775441
0.2264529058,0.1983967936,0.726252505,0.000048846,0.0002930761,40945,2,12,13.556657076,1635.2748201,20806.702434,1.9678755021
0.7635270541,-0.11503006,0.0176352705,0,0.0004004806,17479,0,7,6.8269941807,1642.1018143,20782.905623,0.8410277329
0.8517034068,-0.09258517,-0.447294589,0,0.0010221216,13697,0,14,6.3678319454,1648.4696462,20760.560731,0.6597605998
0.9639278557,-0.115831663,-0.565931864,0,0.0002763576,14474,0,4,6.3731145859,1654.8427608,20738.053716,0.6979439922
0.4549098196,0.1326653307,-0.072144289,0,0.0003221857,15519,0,5,6.505623579,1661.3483844,20714.930579,0.7491697808
-0.26252505,-0.100601202,0.4312625251,0,0.0003558339,28103,0,10,9.7918691635,1671.1402535,20679.844844,1.3589560373
-0.659318637,0.0965931864,0.0689378758,0,0.0006764652,16261,0,11,6.5509843826,1677.6912379,20656.182364,0.7872219422
0.9799599198,0.172745491,0.1234468938,0,0.000276993,18051,0,5,6.9596295357,1684.6508675,20630.877564,0.8749506629
-0.53507014,-0.168737475,0.2549098196,0,0.0005055896,17801,0,9,7.0800290108,1691.7308965,20604.959225,0.8639182347
0.378757515,0.0172344689,-0.761523046,0,0.0004867872,14380,0,7,6.3221905231,1698.053087,20581.665323,0.6986801007
0.751503006,0.006012024,0.4953907816,0,0.0002668303,37477,0,10,12.530113459,1710.5832005,20535.080817,1.8250232533
-0.983967936,0.1054108216,-0.793587174,0,0.0009078529,11015,0,10,6.3095812798,1716.8927817,20511.412828,0.5370181027
0.3146292585,-0.096593186,-0.136272545,0,0.0002352388,17004,0,4,6.7501966953,1723.6429784,20485.93615,0.8300328516
