group_idx,rf_amplitude,mode,segment,n_peaks_target,scan_count,candidate_idx,ok,r2,aicc,nfev,hit_max_nfev,ier,is_stage_best,is_segment_selected,init_new_mu,init_mu_norm
0,-0.5,lost,right,5,69,54,1,0.8714765377931954,-1683.001960769091,29,0,2,0,0,126.0,0.7941176470588235
0,-0.5,lost,right,5,69,55,1,0.8714765479488662,-1683.0019715945616,19,0,1,0,0,127.0,0.8088235294117647
0,-0.5,lost,right,5,69,56,1,0.8714765386209725,-1683.0019616514626,35,0,2,0,0,128.0,0.8235294117647058
0,-0.5,lost,right,5,69,57,1,0.8714765389129683,-1683.0019619627167,30,0,1,0,0,129.0,0.8382352941176471
0,-0.5,lost,right,5,69,58,1,0.8714765481674949,-1683.0019718276096,26,0,1,0,0,130.0,0.8529411764705882
0,-0.5,lost,right,5,69,59,1,0.8188885040384211,-1636.0107732889765,7,0,3,0,0,131.0,0.8676470588235294
0,-0.5,lost,right,5,69,60,1,0.8237133949029579,-1639.7100106800558,41,0,1,0,0,132.0,0.8823529411764706
0,-0.5,lost,right,5,69,61,1,0.8192150135140134,-1636.257981053975,4,0,3,0,0,133.0,0.8970588235294118
0,-0.5,lost,right,5,69,62,1,0.8192819010295536,-1636.3086782131543,5,0,4,0,0,134.0,0.9117647058823529
0,-0.5,lost,right,5,69,63,1,0.8192834753715081,-1636.3098717061607,5,0,4,0,0,135.0,0.9264705882352942
0,-0.5,lost,right,5,69,64,1,0.8192778822902607,-1636.305631693936,5,0,4,0,0,136.0,0.9411764705882353
0,-0.5,lost,right,5,69,65,1,0.8192710817848972,-1636.3004765324215,5,0,4,0,0,137.0,0.9558823529411765
0,-0.5,lost,right,5,69,66,1,0.8191717485163676,-1636.2251984891604,12,0,4,0,0,138.0,0.9705882352941176
0,-0.5,lost,right,5,69,67,1,0.8190674305377993,-1636.146187371137,5,0,3,0,0,139.0,0.9852941176470589
0,-0.5,lost,right,5,69,68,1,0.819048420141741,-1636.131793680409,5,0,3,0,0,140.0,1.0
0,-0.5,lost,right,6,69,0,1,0.8959837697441643,-1704.0239076437713,8,0,3,0,0,72.0,0.0
0,-0.5,lost,right,6,69,1,1,0.8960623785028541,-1704.1274825510181,8,0,3,0,0,73.0,0.014705882352941176
0,-0.5,lost,right,6,69,2,1,0.9002340858130603,-1709.7395974229426,31,0,1,0,0,74.0,0.029411764705882353
0,-0.5,lost,right,6,69,3,1,0.9002340869381629,-1709.7395989679499,44,0,1,0,0,75.0,0.04411764705882353
0,-0.5,lost,right,6,69,4,1,0.9002340851847559,-1709.7395965601459,32,0,1,0,0,76.0,0.058823529411764705
0,-0.5,lost,right,6,69,5,1,0.8975078312482438,-1706.0461035252988,17,0,1,0,0,77.0,0.07352941176470588
0,-0.5,lost,right,6,69,6,1,0.8975078368260869,-1706.046110981132,19,0,1,0,0,78.0,0.08823529411764706
0,-0.5,lost,right,6,69,7,1,0.8975078328078601,-1706.0461056100185,15,0,1,0,0,79.0,0.10294117647058823
0,-0.5,lost,right,6,69,8,1,0.9002340861317716,-1709.7395978606014,36,0,1,0,0,80.0,0.11764705882352941
0,-0.5,lost,right,6,69,9,1,0.8975078321769657,-1706.0461047667097,19,0,1,0,0,81.0,0.1323529411764706
