Ex,Ey,Ez,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.2,0.08340158845,0.025,800,8000,11.821,0.043028896857203125,0.008858890529424172,4741,204,42,11.849847078323364
-0.2,0.08340158845,0.025,1500,16000,11.823,0.010293823705776533,0.008095142914251448,10006,103,81,33.30067038536072
-0.2,0.08340158845,0.025,1800,20000,11.823,0.0049138132750955466,0.007331721394587006,12821,63,94,47.03340196609497
-0.2,0.08340158845,0.025,300,5000,11.825,0.1141163393849574,0.006298629121896999,2699,308,17,5.70691704750061
-0.2,0.08340158845,0.025,600,7000,11.823,0.06620944341862306,0.0081772619361646,3791,251,31,9.248154163360596
-0.2,0.08340158845,0.025,1000,10000,11.823,0.027196307895170593,0.00791165320586781,6067,165,48,16.476491451263428
-0.2,0.0,0.025,1200,12000,11.821,0.027794935145151328,0.010623841877702286,8095,225,86,21.73604965209961
-0.2,0.0,0.025,1000,10000,11.825,0.04,0.012093023255813953,6450,258,78,16.36561918258667
-0.2,0.0,0.025,1800,20000,11.821,0.010172426231873602,0.011903903037298897,13861,141,165,47.111475467681885
-0.2,0.0,0.025,800,8000,11.821,0.05074207781789009,0.010629763337344564,4986,253,53,11.903638124465942
-0.2,0.0,0.025,300,5000,11.822,0.10258275736631503,0.010913059294288832,2749,282,30,5.721467733383179
-0.2,0.0,0.025,1500,16000,11.821,0.017257121986851715,0.011139517896274653,10952,189,122,33.17075228691101
-0.2,0.0,0.025,500,6000,11.819,0.07905803195962995,0.011213905242500702,3567,282,40,7.619040012359619
-0.2,0.0,0.025,600,7000,11.819,0.08018979833926453,0.01162514827995255,4215,338,49,9.283632040023804
-0.15,-0.05,-0.0349999999999999,1200,12000,11.819,0.012498224683993751,0.014628603891492686,7041,88,103,21.8152015209198
-0.15,-0.05,-0.0349999999999999,1500,16000,11.823,0.007756000419243266,0.014673514306676448,9541,74,140,33.21283984184265
-0.15,-0.05,-0.0349999999999999,800,8000,11.825,0.03346321338528535,0.012147604859041943,4363,146,53,11.920972347259521
-0.15,-0.05,-0.0349999999999999,1000,10000,11.825,0.024277242401779097,0.01575240919199407,5396,131,85,16.353838443756104
-0.15,-0.05,-0.0349999999999999,600,7000,11.826,0.05904761904761905,0.014421768707482994,3675,217,53,9.304025650024414
-0.15,-0.05,-0.0349999999999999,300,5000,11.825,0.10054234459741343,0.015853149770546516,2397,241,38,5.633080720901489
-0.15,-0.05,-0.0349999999999999,1800,20000,11.821,0.004186202277294039,0.015488948425987943,11944,50,185,47.08486580848694
-0.15,-0.05,-0.0349999999999999,500,6000,11.829,0.05907590759075908,0.015181518151815182,3030,179,46,7.531549453735352
-0.15,0.05,0.0849999999999999,1000,10000,11.829,0.029068970245440834,0.014397367338543809,7293,212,105,16.394392251968384
-0.15,0.05,0.0849999999999999,800,8000,11.832,0.04096170970614425,0.011398040961709707,5615,230,64,11.934465408325195
-0.15,0.05,0.0849999999999999,1800,20000,11.832,0.0063923539998758765,0.01309501644634767,16113,103,211,47.016961336135864
-0.15,0.05,0.0849999999999999,500,6000,11.833,0.06944444444444445,0.014632936507936508,4032,280,59,7.556200981140137
-0.15,0.05,0.0849999999999999,1500,16000,11.832,0.01272264631043257,0.015028625954198474,12576,160,189,33.23350739479065
-0.15,0.05,0.0849999999999999,1200,12000,11.832,0.02084726867335563,0.013935340022296544,8970,187,125,21.80094075202942
-0.15,0.05,0.0849999999999999,600,7000,11.834,0.05393165911897901,0.01440922190201729,4858,262,70,9.217866659164429
-0.15,0.05,0.0849999999999999,300,5000,11.833,0.1095890410958904,0.013075965130759652,3212,352,42,5.5918638706207275
-0.15,0.05,-0.0349999999999999,1000,10000,11.833,0.028048996982069946,0.020060358601100656,5633,158,113,16.57965874671936
-0.15,0.05,-0.0349999999999999,300,5000,11.832,0.11049723756906077,0.014206787687450671,2534,280,36,5.640846490859985
-0.15,0.05,-0.0349999999999999,600,7000,11.836,0.06131427000274952,0.015947209238383282,3637,223,58,9.228537321090698
-0.15,0.05,-0.0349999999999999,1800,20000,11.834,0.0062688064192577735,0.019893012370444666,11964,75,238,47.143662452697754
-0.15,0.05,-0.0349999999999999,500,6000,11.834,0.07545931758530183,0.023950131233595802,3048,230,73,7.6230103969573975
-0.15,0.05,-0.0349999999999999,1500,16000,11.836,0.008936261843238587,0.020241171403962102,9288,83,188,33.25188589096069
-0.15,0.05,-0.0349999999999999,800,8000,11.834,0.04552023121387283,0.018304431599229287,4152,189,76,11.906498908996582
