Ex,Ey,Ez,wait_time,no_of_repeats,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
-0.15,-0.05,-0.0349999999999999,1800,20000,11.807,0.0045152722443559095,0.01469676848162904,11295,51,166,47.141236305236816
-0.15,-0.05,-0.0349999999999999,1000,10000,11.806,0.03051960594939154,0.014100830596870775,5177,158,73,16.531205892562866
-0.15,-0.05,-0.0349999999999999,500,6000,11.803,0.06865564342199856,0.016175413371675055,2782,191,45,7.5711586475372314
-0.15,-0.05,-0.0349999999999999,1200,12000,11.808,0.018089400508297205,0.015697413664224846,6689,121,105,21.72167468070984
-0.2,0.0,0.025,1800,20000,11.807,0.009101941747572815,0.010163834951456311,13184,120,134,47.24220085144043
-0.2,0.0,0.025,800,8000,11.804,0.056160580824257955,0.008327994875080076,4683,263,39,11.945695638656616
-0.2,0.0,0.025,1000,10000,11.81,0.044887376438178576,0.010371090584994328,6171,277,64,16.484744787216187
-0.2,0.0,0.025,1200,12000,11.806,0.02975713904456899,0.009874566319722444,7494,223,74,21.84312105178833
-0.2,0.0,0.025,600,7000,11.806,0.07991750451147203,0.016241299303944315,3879,310,63,9.332350015640259
-0.2,0.0,0.025,500,6000,11.806,0.08656629994209612,0.007527504342790967,3454,299,26,7.6186535358428955
-0.2,0.0,0.025,300,5000,11.804,0.10833022039596563,0.010833022039596563,2677,290,29,5.781025409698486
-0.2,0.0,0.025,1500,16000,11.803,0.017618641659562374,0.011935208866155157,10557,186,126,33.24370718002319
-0.15,-0.05,0.0849999999999999,500,6000,11.803,0.05739910313901345,0.014349775784753363,3345,192,48,7.564317941665649
-0.15,-0.05,0.0849999999999999,600,7000,11.803,0.05574193548387097,0.01264516129032258,3875,216,49,9.315920352935791
-0.15,-0.05,0.0849999999999999,1800,20000,11.804,0.003608208674735022,0.012929414417800496,13303,48,172,47.157490491867065
-0.15,-0.05,0.0849999999999999,1500,16000,11.807,0.008821248545948042,0.013765025203567274,10316,91,142,33.20730781555176
-0.15,-0.05,0.0849999999999999,800,8000,11.83,0.03590308370044053,0.012995594713656388,4540,163,59,11.93232798576355
-0.15,-0.05,0.0849999999999999,1200,12000,11.834,0.016986802561087155,0.011368090944727557,7653,130,87,21.81083917617798
-0.15,-0.05,0.0849999999999999,300,5000,11.834,0.08993494068120934,0.014925373134328358,2613,235,39,5.788623332977295
-0.15,-0.05,0.0849999999999999,1000,10000,11.829,0.026099803020354563,0.011654629021667761,6092,159,71,16.559616327285767
-0.2,0.0,0.025,1500,16000,11.829,0.018869741022431885,0.010493886589005488,10387,196,109,33.248119831085205
-0.2,0.0,0.025,600,7000,11.834,0.07911706349206349,0.009424603174603174,4032,319,38,9.390226602554321
-0.2,0.0,0.025,500,6000,11.834,0.08787878787878788,0.009393939393939394,3300,290,31,7.6130077838897705
-0.2,0.0,0.025,1000,10000,11.83,0.04019107231098666,0.009059463020919124,6071,244,55,16.467507123947144
-0.2,0.0,0.025,800,8000,11.833,0.058823529411764705,0.009873949579831932,4760,280,47,12.066139936447144
-0.2,0.0,0.025,1800,20000,11.831,0.009914375844975214,0.010064593660808172,13314,132,134,47.095908880233765
-0.2,0.0,0.025,300,5000,11.831,0.1309660175639557,0.008018327605956471,2619,343,21,5.673793792724609
-0.2,0.0,0.025,1200,12000,11.833,0.030930607853684778,0.010355029585798817,7436,230,77,21.804484605789185
-0.25,-0.05,-0.0349999999999999,1000,10000,11.835,0.013004484304932735,0.003139013452914798,4460,58,14,16.55257487297058
-0.25,-0.05,-0.0349999999999999,1800,20000,11.829,0.002332657200811359,0.0019269776876267748,9860,23,19,47.12469673156738
-0.25,-0.05,-0.0349999999999999,500,6000,11.834,0.049856967715570084,0.0016346546791990192,2447,122,4,7.648775577545166
-0.25,-0.05,-0.0349999999999999,800,8000,11.833,0.026965654271927333,0.0011353959693443088,3523,95,4,12.051905155181885
